Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
GR-coarse-anm-00282.dat -3.7548 3.9251 -2.9983 3.3340 -3.7742 3.5761 119.0 152.0 1.299 6.1 1.230 20 1.0006 8.63069 7.21641 4.87713 4.87713 4.19710
GR-coarse-anm-00377.dat -3.7844 4.7083 -3.1213 3.0936 -3.5365 3.7353 120.0 163.0 1.385 6.1 1.329 26 1.0389 10.42290 6.17679 5.85189 5.85189 3.49761
GR-coarse-anm-00212.dat -3.8768 4.1821 -4.4601 4.5820 -3.8545 3.7439 126.0 168.0 1.384 6.2 1.666 16 1.0475 11.43939 5.96745 5.26043 5.26043 4.38562
GR-coarse-anm-00102.dat -4.7891 3.7339 -3.5508 2.7457 -3.4156 4.5963 123.0 163.0 1.364 6.2 1.485 24 0.9774 11.29401 5.90261 5.40217 5.40217 4.71978
GR-coarse-anm-00231.dat -2.9484 2.3511 -3.4883 4.0849 -4.4640 4.2784 122.0 150.0 1.260 6.2 1.275 20 0.9775 9.07978 8.62184 4.46039 4.46039 4.87713
GR-coarse-anm-00217.dat -4.5926 4.2569 -3.7514 4.0378 -2.3853 2.7275 128.0 167.0 1.363 6.2 1.198 26 0.9959 9.09951 7.40046 4.74656 4.74656 5.85189
GR-coarse-anm-00214.dat -3.5728 3.9035 -4.3115 4.3547 -2.8968 2.9617 132.0 170.0 1.354 6.3 1.165 24 0.9987 8.99351 7.01318 5.66328 5.66328 4.74656
GR-coarse-anm-00488.dat -4.6928 3.1233 -5.0069 3.8920 -2.3113 2.0271 133.0 168.0 1.331 6.3 1.479 28 0.9786 10.31010 7.17676 5.08529 5.08529 5.26043
GR-coarse-anm-00129.dat -3.9895 3.4998 -3.1056 3.8125 -3.9913 4.7018 130.0 170.0 1.371 6.3 1.350 28 0.9961 9.99304 7.51352 4.24090 4.24090 5.40217
GR-coarse-anm-00109.dat -3.6596 4.1382 -4.5643 4.5604 -2.8639 3.3848 134.0 176.0 1.392 6.3 1.395 22 1.0107 9.87424 9.26980 3.93666 3.93666 4.46039
GR-coarse-anm-00316.dat -3.9644 4.0994 -2.8297 3.2728 -4.1344 4.5920 132.0 157.0 1.252 6.3 1.256 24 1.0115 9.01257 8.42724 3.96771 3.96771 4.74656
GR-coarse-anm-00054.dat -3.6384 3.6491 -3.0561 4.0840 -3.4122 3.9633 137.0 168.0 1.306 6.4 1.124 26 0.9560 8.49954 7.09539 6.66349 6.66349 4.24090
GR-coarse-anm-00521.dat -5.5943 4.7918 -3.9300 3.6687 -1.8766 3.2880 137.0 178.0 1.387 6.4 1.515 24 1.0275 11.57807 6.82057 5.54568 2.08776 1.22989
GR-coarse-anm-00297.dat -4.9815 4.0442 -4.8826 4.1488 -2.1358 2.2876 138.0 173.0 1.340 6.4 1.384 22 1.0287 10.00743 8.40863 3.95157 3.95157 3.93666
GR-coarse-anm-00198.dat -4.0461 4.2399 -4.0195 3.7585 -3.4866 3.0894 138.0 165.0 1.277 6.4 1.080 24 1.0277 8.38527 7.55759 6.16426 6.16426 3.96771
GR-coarse-anm-00451.dat -3.8924 3.5438 -3.6625 4.2204 -3.5301 3.0679 144.0 170.0 1.279 6.5 1.189 22 1.0061 9.36843 8.20418 4.93993 4.93993 2.08776
GR-coarse-anm-00076.dat -5.3417 5.5375 -2.8195 3.2887 -2.1887 3.6732 147.0 184.0 1.369 6.5 1.335 18 0.9528 11.83582 6.76922 6.54722 6.54722 3.95157
GR-coarse-anm-00524.dat -4.9527 6.7202 -2.8058 3.3369 -3.5244 2.2731 143.0 191.0 1.444 6.5 1.458 26 0.9731ÿ 11.98251 7.52736 4.85623 2.46745 1.55004ÿ
GR-coarse-anm-00503.dat -3.4693 3.9513 -6.3041 5.3538 -2.4718 2.5014 143.0 181.0 1.372 6.5 1.519 20 1.0049 11.69069 6.88243 4.77497 4.77497 6.16426
GR-coarse-anm-00323.dat -4.2178 5.3003 -6.1161 5.8173 -3.1663 4.1938 153.0 203.0 1.468 6.6 2.259 18 0.9891 14.70138 5.68802 4.14741 4.14741 6.54722
GR-coarse-anm-00355.dat -4.2367 3.4467 -3.4986 3.9264 -4.0903 3.9606 150.0 181.0 1.329 6.6 1.234 28 0.9603 9.47942 7.78309 5.15561 5.15561 2.46745
GR-coarse-anm-00056.dat -3.4296 4.0194 -4.4995 6.1905 -2.6957 3.1651 154.0 186.0 1.341 6.6 1.381 26 0.9866 10.72798 6.80784 6.21528 6.21528 4.77497
GR-coarse-anm-00263.dat -5.3698 5.7687 -4.5749 3.4082 -3.8805 3.4966 155.0 197.0 1.413 6.7 1.501 28 1.0335 12.60305 7.91863 5.03008 5.03008 4.14741
GR-coarse-anm-00435.dat -3.9624 3.1211 -3.9042 5.7627 -2.2066 3.7144 160.0 186.0 1.303 6.7 1.242 22 0.9781 10.17724 7.74393 6.45974 6.45974 5.15561
GR-coarse-anm-00130.dat -4.3480 3.7196 -3.5153 4.1685 -3.9601 4.6989 157.0 188.0 1.336 6.7 1.335 28 1.0473 10.34770 10.00868 4.42757 4.42757 6.21528
GR-coarse-anm-00501.dat -4.0148 3.7746 -5.5935 4.8170 -2.4523 4.1253 162.0 202.0 1.406 6.8 1.361 28 1.0006 10.94356 7.38178 5.43232 5.43232 6.45974
GR-coarse-anm-00506.dat -4.3926 4.8055 -3.0640 2.6299 -4.6700 4.7433 161.0 195.0 1.362 6.8 1.329 28 0.9859 11.35049 8.09808 5.51581 5.51581 4.42757
GR-coarse-anm-00126.dat -3.1820 3.9477 -4.7541 5.5773 -3.8016 3.5025 173.0 200.0 1.332 6.9 1.179 26 0.9805 10.92850 7.57057 7.36191 7.36191 5.51581
GR-coarse-anm-00155.dat -3.8998 3.7854 -4.0969 4.8008 -2.6898 3.7407 171.0 198.0 1.328 6.9 1.202 28 0.9834 10.12341 7.60366 7.00885 7.00885 5.43232
GR-coarse-anm-00110.dat -3.7187 4.6548 -4.5329 4.5874 -3.6181 3.7170 170.0 203.0 1.367 6.9 1.170 26 0.9703 9.54725 8.82056 6.56555 6.56555 5.51581
GR-coarse-anm-00078.dat -4.2407 3.7376 -3.9850 4.5771 -3.9003 4.1441 176.0 193.0 1.269 7.0 1.201 26 1.0312 9.73425 7.61040 6.60220 6.60220 7.36191
GR-coarse-anm-00324.dat -3.0877 3.3437 -4.1623 3.6986 -5.2173 6.0526 176.0 193.0 1.271 7.0 1.399 24 1.0265 11.58138 8.07191 4.73089 4.73089 7.00885
GR-coarse-anm-00440.dat -4.1481 3.3742 -4.9621 5.1551 -3.5690 3.1357 183.0 202.0 1.298 7.0 1.259 22 1.0473 10.73011 7.63675 5.63066 5.63066 6.56555
GR-coarse-anm-00419.dat -4.3157 4.5690 -4.5671 6.6129 -3.0636 2.8006 183.0 224.0 1.437 7.0 1.508 24 1.0355 11.97121 8.10641 5.31537 5.31537 7.36191
GR-coarse-anm-00446.dat -4.1986 4.4730 -3.8316 3.8437 -3.9111 3.3866 182.0 201.0 1.296 7.0 1.142 26 0.9800 9.62135 8.85005 6.56420 6.56420 7.00885
