cement141-anm-00068.dat,-8.1756,6.9096,-5.9026,6.6791,-7.4269,8.6556,1078.2153,601.7534,1.183,12.72240,1.279,16,1.01067,19.163548,14.322291,8.979464,2.134153,1.595005
cement141-anm-00070.dat,-10.2217,8.6716,-9.8809,9.9304,-10.3278,10.7486,2533.9587,1107.3354,1.232,16.91480,1.368,24,1.02247,26.864874,17.647078,11.190200,2.400750,1.577012
cement141-anm-00071.dat,-12.2137,10.8551,-8.9577,12.3713,-13.0357,11.4688,2807.5452,1257.2527,1.306,17.50287,1.553,20,1.01766,30.427387,18.644194,12.347925,2.464170,1.509905
cement141-anm-00072.dat,-10.3540,11.2173,-5.6798,5.7224,-11.1749,12.2363,1690.5479,881.6055,1.285,14.78006,1.581,18,0.98984,25.916662,17.171797,8.635421,3.001205,1.988530
cement141-anm-00073.dat,-7.5238,8.3189,-15.6670,13.6087,-12.2436,13.1113,4608.1789,1585.8476,1.184,20.64636,1.222,22,0.95815,29.783274,23.777914,15.421460,1.931288,1.541872
cement141-anm-00074.dat,-10.3645,9.8593,-24.5880,21.7438,-12.3115,11.1367,5410.9731,2118.2229,1.421,21.78172,1.759,22,0.98306,48.023396,23.976776,15.782174,3.042889,1.519232
cement141-anm-00075.dat,-10.5992,12.1742,-6.9579,8.0395,-15.3038,15.0991,3499.7164,1369.5759,1.229,18.83699,1.407,22,0.99912,36.048512,18.327415,14.562620,2.475414,1.258525
cement141-anm-00076.dat,-37.6016,43.6682,-36.3243,44.2373,-53.0636,48.1979,236448.3017,22905.3544,1.239,76.72069,1.123,24,1.04660,113.934494,97.679398,62.626286,1.819276,1.559719
cement141-anm-00077.dat,-13.4625,13.4307,-10.4465,11.4442,-16.4026,14.3902,6375.6765,2016.1738,1.213,23.00608,1.216,14,0.95308,32.264103,26.677803,19.995539,1.613565,1.334188
cement141-anm-00078.dat,-4.3913,5.7942,-10.8910,11.6850,-9.1057,9.3679,1407.4531,824.2113,1.357,13.90417,1.514,18,1.02453,24.388933,16.794983,9.153668,2.664389,1.834782
cement141-anm-00080.dat,-9.2712,10.5385,-14.0723,12.5869,-9.9619,7.9034,3458.6642,1323.0462,1.196,18.76304,1.233,20,0.96438,27.465021,23.857868,13.643742,2.013012,1.748631
cement141-anm-00081.dat,-7.5771,9.3486,-8.9575,8.6003,-9.0958,7.5733,1262.5900,722.9813,1.280,13.40977,1.349,16,0.98306,21.589100,17.771454,11.761373,1.835593,1.511002
cement141-anm-00082.dat,-8.9761,7.6633,-13.6854,9.6963,-6.9315,6.7388,1134.0699,708.0295,1.346,12.93839,2.079,16,1.02293,28.313969,10.887675,7.737275,3.659424,1.407172
cement141-anm-00083.dat,-7.3544,6.6737,-9.3472,10.6833,-8.4313,11.7527,1438.3874,812.0495,1.318,14.00530,1.442,22,1.02077,22.902246,15.632646,10.276630,2.228576,1.521184
cement141-anm-00084.dat,-8.5393,8.1193,-6.6350,6.5600,-8.0984,7.7994,1209.8310,651.3612,1.186,13.22032,1.105,20,0.96290,17.969976,15.210003,12.152559,1.478699,1.251589
cement141-anm-00088.dat,-11.3116,11.0090,-15.8093,11.1180,-6.9182,7.2185,2670.0666,1256.9193,1.350,17.21239,1.454,24,0.96629,29.606848,20.612757,11.886242,2.490850,1.734169
cement141-anm-00089.dat,-9.2733,9.8290,-12.0234,15.3003,-16.1336,15.2549,6826.2415,2161.5033,1.242,23.53573,1.285,24,0.95332,35.735340,30.536741,18.755362,1.905340,1.628161
cement141-anm-00090.dat,-11.2922,11.3281,-10.4562,9.3964,-9.8322,8.0225,1937.8685,977.8008,1.301,15.46828,1.423,22,1.00065,26.623043,18.679203,12.671235,2.101061,1.474142
cement141-anm-00092.dat,-15.6257,16.5437,-15.8227,14.1481,-14.8444,12.9406,8678.4324,2466.7283,1.208,25.49652,1.195,24,0.98546,38.338627,28.985945,25.873932,1.481747,1.120276
cement141-anm-00093.dat,-11.1423,10.1207,-9.1577,7.6538,-14.1911,16.2547,2936.6645,1278.2894,1.289,17.76718,1.498,22,0.96396,34.138500,18.983564,12.305381,2.774274,1.542704
cement141-anm-00094.dat,-7.1627,6.9604,-8.6376,11.1022,-7.8689,6.9483,1523.3478,795.5743,1.243,14.27579,1.205,22,1.04962,20.226473,16.950579,10.674145,1.894903,1.588003
cement141-anm-00095.dat,-10.9705,8.0751,-13.1934,14.9419,-6.1321,6.1641,1833.1733,1017.6587,1.405,15.18454,2.070,12,1.04338,29.755714,17.132118,7.514881,3.959573,2.279759
cement141-anm-00097.dat,-8.9342,8.1923,-10.7144,10.1881,-9.1185,8.5421,2024.9511,963.4917,1.245,15.69659,1.231,24,0.95731,24.355793,16.712778,14.240339,1.710338,1.173622
cement141-anm-00099.dat,-11.2358,10.1190,-10.6489,14.1927,-6.4793,6.5227,2582.8583,1130.1881,1.241,17.02292,1.342,20,0.99295,26.348204,18.919510,12.181127,2.163035,1.553182
