Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
AZ0.5-anm-00238.dat -4.9009 3.6013 -5.2186 5.6759 -2.9918 1.9681 172.0 192.0 1.282 6.9 1.478 26 1.0272 12.5571 7.7623 5.2042 5.2042 5.5398
AZ0.5-anm-00119.dat -4.9934 4.5756 -5.4182 5.1699 -4.0856 3.5528 182.0 229.0 1.475 7.0 1.668 24 1.0135 12.4220 10.3020 3.4443 3.4443 5.2042
AZ0.5-anm-00143.dat -4.6577 4.6570 -5.4855 3.8440 -4.2062 5.3652 183.0 219.0 1.404 7.0 1.697 24 0.9926 13.3463 8.2703 3.5722 3.5722 5.2042
AZ0.5-anm-00103.dat -3.4624 2.7431 -3.7766 3.6556 -5.4572 5.1150 197.0 194.0 1.186 7.2 1.208 30 1.0042 10.8104 7.7963 5.4907 5.4907 3.5722
AZ0.5-anm-00213.dat -6.9533 6.3921 -5.0926 4.5602 -3.7224 4.0508 195.0 241.0 1.481 7.2 1.888 26 1.0005 13.6826 8.5345 3.5277 3.5277 3.4443
AZ0.5-anm-00054.dat -3.7778 3.9308 -7.9518 7.5477 -2.3300 3.6413 192.0 243.0 1.510 7.2 2.127 16 1.0016 15.9514 8.0701 4.2727 4.2727 3.5722
AZ0.5-anm-00189.dat -5.0085 4.5275 -5.4468 4.0120 -5.0496 4.4988 205.0 233.0 1.384 7.3 1.601 24 0.9608 12.9086 8.2256 4.9485 4.9485 3.5277
AZ0.5-anm-00055.dat -3.8659 3.3873 -4.8083 6.1784 -5.9615 3.1421 204.0 221.0 1.320 7.3 1.416 26 0.9798 12.7872 7.1949 6.1546 6.1546 4.2727
AZ0.5-anm-00220.dat -7.2231 6.7306 -4.4075 4.9071 -4.3752 4.4518 216.0 254.0 1.459 7.4 1.973 12 0.9845 14.8235 8.8528 4.3582 4.3582 6.1546
AZ0.5-anm-00262.dat -4.7481 4.9682 -4.7556 5.5863 -3.3146 2.4363 215.0 238.0 1.370 7.4 1.369 30 1.0294 12.2866 9.2273 5.7812 2.1253 1.5961
