Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
IN-coarse-anm-00077.dat -5.8990 6.5467 -3.6218 3.3533 -6.8357 6.9071 470.0 375.0 1.283 9.6 1.325 30 0.9539 13.91619 12.77348 6.16479 6.16479 5.34386
IN-coarse-anm-00191.dat -4.7839 5.7370 -8.2471 7.7471 -3.0068 4.4906 466.0 385.0 1.324 9.6 1.418 22 1.0019 16.90326 9.53541 8.52728 8.52728 5.34386
IN-coarse-anm-00212.dat -4.9241 4.7458 -5.3580 5.2732 -5.5495 5.9853 474.0 347.0 1.180 9.7 1.117 30 1.0379 13.17379 10.17021 8.24714 8.24714 6.16479
IN-coarse-anm-00152.dat -8.6359 6.6642 -5.0427 5.5488 -4.0299 5.8292 480.0 410.0 1.382 9.7 1.621 26 1.0230 17.04262 9.33227 7.06892 7.06892 8.52728
IN-coarse-anm-00021.dat -4.6705 4.8754 -9.0394 8.4058 -5.9576 5.5680 493.0 418.0 1.385 9.8 1.732 24 1.0351 18.93934 9.37248 6.14811 6.14811 7.06892
IN-coarse-anm-00160.dat -3.3893 3.1304 -6.3752 7.4754 -5.4407 7.0300 501.0 393.0 1.287 9.9 1.253 22 0.9762 14.02976 12.62653 6.36047 6.36047 6.14811
IN-coarse-anm-00044.dat -4.1760 3.9996 -6.2930 6.1872 -7.5482 7.2018 503.0 397.0 1.297 9.9 1.457 28 1.0192 16.93884 11.51762 6.63232 6.63232 6.14811
IN-coarse-anm-00231.dat -7.3943 7.7363 -7.6286 7.9789 -3.4789 4.0367 500.0 437.0 1.434 9.9 1.758 26 1.0328 18.93315 10.66791 5.32496 3.55555 2.00338
IN-coarse-anm-00214.dat -6.7344 5.8871 -5.3245 4.4748 -5.2344 5.5687 510.0 385.0 1.247 9.9 1.268 26 1.0269 13.87544 13.39773 6.40973 6.40973 6.14811
IN-coarse-anm-00226.dat -7.1200 8.7669 -4.2802 3.9547 -6.3966 5.8171 503.0 428.0 1.399 9.9 1.606 28 1.0290 16.62619 13.26675 5.47848 5.47848 6.14811
IN-coarse-anm-00168.dat -5.9596 6.2417 -7.0192 6.3357 -4.8181 5.1248 519.0 412.0 1.319 10.0 1.283 30 1.0021 15.16102 12.88849 8.30367 8.30367 6.40973
IN-coarse-anm-00115.dat -4.1633 4.4881 -7.7394 9.9393 -3.4420 4.7911 531.0 408.0 1.287 10.0 1.490 26 1.0490 19.16983 9.30127 8.71672 8.71672 5.47848
IN-coarse-anm-00093.dat -5.2614 6.0181 -5.3285 5.8244 -4.9076 5.9114 538.0 372.0 1.162 10.1 1.076 26 0.9768 13.42046 10.42546 10.48341 10.48341 8.30367
IN-coarse-anm-00146.dat -6.4726 5.9264 -5.8919 5.4027 -5.6967 3.9053 542.0 386.0 1.200 10.1 1.173 14 1.0156 14.18892 12.33261 8.57403 8.57403 8.71672
IN-coarse-anm-00138.dat -7.4762 6.8536 -6.0926 5.0824 -5.7300 6.7975 564.0 443.0 1.343 10.2 1.613 18 0.9851 19.60367 12.11128 6.93450 6.93450 8.57403
IN-coarse-anm-00074.dat -5.2255 5.6250 -7.6354 6.3989 -5.9585 5.7360 573.0 407.0 1.221 10.3 1.262 24 0.9981 14.71714 11.18764 7.03363 7.03363 6.93450
IN-coarse-anm-00207.dat -5.6682 7.3449 -7.0024 6.3590 -4.9756 2.5900 568.0 424.0 1.279 10.3 1.260 24 1.0012 14.83987 12.78828 7.88114 7.88114 6.93450
IN-coarse-anm-00179.dat -7.2581 6.3706 -6.2972 5.9604 -7.1976 5.8503 601.0 428.0 1.242 10.5 1.270 24 0.9977 16.23265 11.78739 8.09586 8.09586 7.88114
IN-coarse-anm-00086.dat -6.2390 7.2371 -4.8098 4.9310 -6.6649 6.8332 613.0 458.0 1.312 10.5 1.184 22 0.9973 14.59136 12.73070 8.87422 8.87422 7.03363
IN-coarse-anm-00037.dat -8.2941 8.9210 -7.3864 7.6380 -5.9600 5.2758 603.0 533.0 1.544 10.5 1.806 26 1.0269 19.80726 14.38608 5.77707 5.77707 7.88114
IN-coarse-anm-00006.dat -4.1891 5.5642 -4.8884 5.9191 -8.8134 9.1179 626.0 451.0 1.275 10.6 1.495 30 0.9992 18.65136 9.74133 8.98498 8.98498 8.87422
IN-coarse-anm-00039.dat -5.3690 7.8400 -6.1847 6.8745 -5.3960 7.5613 622.0 454.0 1.288 10.6 1.291 26 1.0175 16.10633 11.29336 9.61439 9.61439 5.77707
IN-coarse-anm-00038.dat -9.4520 9.7601 -7.6857 5.7859 -3.6765 5.3951 648.0 480.0 1.326 10.7 1.580 14 1.0052 20.66685 14.11572 7.48819 7.48819 9.61439
IN-coarse-anm-00020.dat -7.2628 5.6372 -7.4333 6.9797 -5.7936 4.0837 633.0 478.0 1.340 10.7 1.328 28 1.0499 16.47181 13.59251 7.22423 7.22423 8.98498
IN-coarse-anm-00042.dat -5.5582 5.4273 -6.4782 6.1519 -6.4518 6.0586 650.0 436.0 1.201 10.7 1.106 30 0.9630 13.88272 11.76092 9.73301 9.73301 9.61439
IN-coarse-anm-00183.dat -6.0308 5.8263 -4.7369 4.7246 -6.3265 7.1550 665.0 430.0 1.168 10.8 1.079 26 0.9889 13.86029 12.32404 10.52407 10.52407 9.73301
IN-coarse-anm-00182.dat -7.1590 6.8632 -6.9436 7.3081 -8.2564 8.2744 689.0 505.0 1.338 11.0 1.500 18 1.0364 18.21754 12.21415 8.12481 8.12481 10.52407
