Name xlow xhi ylow yhi zlow zhi volume surf_area norm_surf_area Equiv_sph_diam Itrace Nnn Norm_Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
C-anm-00004.dat -12.778613 12.878425 -11.469539 9.965337 -8.464170 8.660068 2997.693085 1232.398486 1.226 17.88942 1.347 18 0.99555 27.523319 19.358558 13.582283 2.026413 1.425280
C-anm-00005.dat -7.819428 10.345487 -13.187273 10.939222 -8.388109 9.640576 3042.986970 1205.013170 1.187 17.97907 1.155 26 0.97000 24.749826 19.458411 18.256190 1.355695 1.065853
C-anm-00006.dat -7.490348 8.120539 -9.144920 11.636299 -5.930253 8.505680 1602.351501 831.226795 1.255 14.51843 1.362 26 1.00484 22.494838 17.538184 10.778667 2.086978 1.627120
D-anm-00001.dat -9.948815 9.216374 -9.648104 8.531765 -7.000670 5.454025 1354.223554 743.950844 1.257 13.72663 1.423 26 1.01416 24.780734 14.900601 10.106496 2.451961 1.474359
D-anm-00002.dat -9.156745 8.309315 -11.723997 11.191603 -8.026921 7.804213 2401.211781 1055.388401 1.217 16.61412 1.206 26 1.00935 24.294911 19.583963 13.777365 1.763393 1.421459
D-anm-00003.dat -10.036263 10.197248 -10.727774 11.091588 -10.365639 7.220048 1735.827396 979.492970 1.402 14.91086 1.623 26 0.99327 26.247519 23.749185 7.441132 3.527356 3.191609
D-anm-00004.dat -8.747660 8.407468 -6.982451 8.728369 -6.535547 4.839656 958.655217 603.132790 1.283 12.23361 1.343 26 0.99804 19.224770 16.929359 7.629885 2.519667 2.218822
D-anm-00005.dat -8.546066 9.507312 -10.492576 12.225286 -6.293169 5.578807 1496.522551 835.843105 1.321 14.19150 1.453 14 1.01293 23.696775 14.356748 11.342462 2.089209 1.265752
D-anm-00006.dat -9.988351 9.401077 -12.779957 8.676729 -4.784085 4.610018 1454.452664 799.457395 1.288 14.05725 1.343 26 0.99426 22.357209 16.813461 9.350906 2.390914 1.798057
E-anm-00001.dat -9.486822 9.266925 -10.003935 7.219734 -6.413489 6.505946 1534.541322 785.684991 1.221 14.31067 1.264 20 1.00938 21.274878 16.153864 10.644247 1.998721 1.517615
E-anm-00002.dat -11.564887 10.854859 -8.912381 8.586022 -6.551698 5.946530 1953.713994 921.756366 1.220 15.51032 1.260 26 0.97478 22.567302 17.793742 11.077037 2.037305 1.606363
E-anm-00003.dat -6.617143 6.994037 -9.514791 9.429814 -9.741724 10.360797 1704.090749 858.868956 1.245 14.81943 1.331 18 1.03996 23.784279 15.264298 11.985208 1.984469 1.273595
E-anm-00004.dat -8.803498 9.739615 -7.499603 8.491352 -8.734990 6.699301 1881.114316 841.093539 1.141 15.31577 1.136 26 1.00813 20.647414 16.895710 13.031246 1.584454 1.296554
E-anm-00005.dat -10.008170 10.163321 -7.707524 6.497272 -8.715730 9.146292 1767.916127 826.240541 1.169 15.00218 1.148 26 0.99850 22.570582 17.225335 14.463528 1.560517 1.190950
E-anm-00006.dat -10.943269 11.790147 -9.943919 11.860511 -9.714836 7.154139 3622.121637 1336.691801 1.172 19.05409 1.190 26 1.00026 27.390654 21.564153 17.002777 1.610952 1.268272
F-anm-00001.dat -10.656290 11.176029 -10.968489 9.182195 -4.984505 4.416147 1624.323500 870.156319 1.302 14.58449 1.457 22 1.03128 23.913040 17.535899 9.033276 2.647217 1.941256
F-anm-00002.dat -9.372820 7.757326 -10.076532 8.457575 -4.395120 5.208248 1111.928648 671.788590 1.294 12.85364 1.417 20 0.98344 22.009283 14.255505 8.715790 2.525220 1.635595
