cement152-anm-02164.dat            4.62        -1.3       -2.76    1.87e-16          12       0.382           2       -1.12        6.32        0.77       0.384       0.719       0.417          23        21.1        11.8        21.1        11.8       0.534       0.919       0.658       0.611       0.966
cement152-anm-02165.dat            3.95       -5.09       -4.78       0.882        15.7      0.0486       0.772       0.935        6.75       0.731       0.251       0.626       0.523        31.3        18.5        8.96        18.4        8.71       0.363       0.793       0.509       0.404       0.894
cement152-anm-02172.dat            7.54        3.09        1.22       0.633          21      -0.817       0.323    5.38e-17        5.88        0.83        0.36       0.778       0.457        42.4        22.5        17.8        22.4        18.2        0.59       0.907       0.703       0.614       0.937
cement152-anm-02173.dat            3.94         8.7       -2.23       0.565        16.4       -1.77        1.29      -0.868         6.9       0.701       0.241       0.571       0.368        32.7          12        9.85        11.7        9.61       0.491       0.827       0.623       0.462       0.857
cement152-anm-02176.dat             3.9       0.209      -0.644       -0.43        13.5       0.454         1.4       0.932        6.65       0.732        0.29        0.66       0.493        26.2        22.3        8.54        22.3        8.34       0.345       0.787       0.492       0.408       0.915
cement152-anm-02177.dat            3.84        3.47       0.438       -0.22        11.4       -0.97       -1.17       0.837         6.2       0.771       0.336       0.711       0.371        23.2        13.4        11.2        13.4        11.2       0.636       0.929        0.74       0.669       0.954
cement152-anm-02180.dat            5.98       0.257       0.791       0.391        15.4      -0.312        1.64       -3.03        6.11       0.802       0.388       0.765       0.414        30.6          22        15.3        21.7        14.6       0.568       0.924       0.686       0.629       0.961
cement152-anm-02181.dat            4.01        5.25       -2.08       -1.45        14.4      -0.377      0.0476      0.0975        6.61       0.737       0.279       0.647       0.434          29        16.1        9.09        16.1        9.09       0.421       0.834       0.562       0.458       0.906
cement152-anm-02183.dat            3.73        2.04      -0.258      -0.393        14.5       -0.97        2.06        0.74        6.53       0.722       0.256       0.651       0.347        29.1        11.6        10.7        11.6        10.7       0.583        0.87       0.698       0.561       0.897
cement152-anm-02185.dat            6.41       -5.91       0.746        1.53        17.2       0.488         1.5      -0.513        6.08       0.811       0.372       0.748       0.457        34.5        20.1        14.8        20.1        14.8        0.56       0.907        0.68       0.601       0.943
cement152-anm-02186.dat            4.85        10.9        1.38       -1.39        21.2      -0.413    5.05e-17       -1.27        6.72       0.721       0.228       0.598       0.426        42.6        16.6        12.1        16.6        12.1       0.455       0.822       0.591       0.443       0.863
cement152-anm-02188.dat            6.55       -1.14        3.51        -1.2        20.1       -1.02      -0.959        2.55        6.41       0.771       0.326       0.708       0.471        40.2        28.5        15.6        28.5        15.6       0.461       0.872       0.597       0.523       0.939
cement152-anm-02194.dat            6.08        8.15           0       0.513        16.7      -0.177        2.81       -2.05        5.95       0.791       0.363       0.712       0.457        33.4        18.2        15.1        18.1        14.6       0.595       0.911       0.708       0.623       0.941
cement152-anm-02195.dat            9.55        -4.6    5.63e-16       -2.16        20.2        1.11       -2.37        1.04        5.76       0.851       0.472       0.809       0.452        40.4        25.4        26.5        24.7          25       0.793        0.96       0.857        0.81       0.974
cement152-anm-02200.dat            7.22       0.425       -1.31       0.755        19.1        1.16         1.4        -3.3         6.2       0.795       0.379       0.745       0.472        37.3        29.5        17.7        29.5        17.7       0.533       0.915       0.657       0.603       0.961
cement152-anm-02201.dat            7.87       -11.9    1.46e-15        3.06        28.5        2.97           0       -2.16        6.62       0.738       0.276       0.648       0.505        57.3        39.2        16.7        39.2        16.7       0.353        0.79         0.5       0.406       0.905
cement152-anm-02204.dat               6        1.02       0.262      -0.417        16.5        0.63       0.162           2        6.05        0.82       0.364       0.753       0.432          33        16.6        15.2        16.4        15.4       0.659       0.916       0.758       0.666        0.94
cement152-anm-02207.dat             5.3        10.1       -5.54        1.45        20.2      -0.353      0.0907       -1.12        6.65       0.733       0.263       0.632       0.561        40.5        27.4        11.5          27        11.2       0.338       0.774       0.485       0.387       0.897
cement152-anm-02209.dat            4.42        2.07        1.94       0.541        14.2       -1.16      -0.843       -1.73        6.45       0.753       0.311       0.683       0.482        28.4        21.5          10        21.4        9.97       0.404       0.835       0.546       0.467       0.928
cement152-anm-02212.dat            6.11       -3.03       -1.66       0.887        23.5        1.69        2.66        1.02        6.73       0.727       0.259       0.628       0.427        47.2          20          15          20          15       0.488       0.847        0.62       0.486       0.886
cement152-anm-02213.dat            5.55        -2.2       0.278       0.281        13.4     -0.0186       0.296      -0.749        6.38       0.755       0.416       0.711       0.403        26.7        20.5        15.5          20        15.7       0.678        0.96       0.772       0.737       0.979
cement152-anm-02216.dat            8.79       0.819       -0.99      0.0808        19.6       0.498       0.128     -0.0323        5.82       0.843       0.448       0.805       0.475          39          27        22.7          27        22.7       0.698       0.959       0.787       0.747       0.976
cement152-anm-02218.dat            7.09       0.145       0.445        1.44        15.6       -0.61       -1.88      -0.929        5.69       0.855       0.455        0.83       0.424        31.6        22.6        18.9        22.5        19.4       0.726       0.966       0.808       0.774        0.98
cement152-anm-02219.dat            7.51        5.22        3.79      -0.814        22.2       -2.81        1.54       -1.27        6.63        0.74       0.338       0.665       0.458        44.6        32.2        18.8        27.8        18.2       0.516       0.894       0.643       0.566       0.941
cement152-anm-02221.dat            7.58       -2.54       0.321      -0.323        14.5        0.49       -1.51      0.0997        5.56       0.887       0.523       0.868       0.444        28.5        25.1        18.7        24.9        19.5       0.731       0.978       0.811       0.792       0.989
cement152-anm-02224.dat            6.89        1.79      -0.709        1.06        21.1        1.18         2.5       -1.52         6.4       0.772       0.327       0.718       0.462        42.3        24.2        17.5        24.2        17.5       0.547       0.901       0.669       0.586       0.938
cement152-anm-02227.dat            4.46        1.72      -0.441       0.455         9.4      -0.205        1.07    6.69e-17        5.73       0.832       0.474       0.803       0.342        18.9        12.6        11.4        12.3        11.9       0.782       0.965       0.849        0.81       0.978
cement152-anm-02229.dat            5.62       -4.04       -1.04        1.36        16.3        2.38       0.612       -1.79        6.41       0.775       0.344       0.709       0.413        33.3        17.8        13.6        17.6        13.1       0.542       0.892       0.665       0.571       0.929
cement152-anm-02230.dat            3.67        1.97       -4.19       0.883        13.6      -0.591    7.24e-17       0.814        6.53       0.745        0.27       0.659       0.525        27.2        21.6        8.42        21.6        8.42       0.347       0.787       0.494       0.408       0.913
cement152-anm-02232.dat            7.95       -4.41       -1.75        1.22          17       0.689       -2.12      -0.572        5.76       0.853       0.466       0.822       0.458        34.1        24.9        20.6        22.8        24.9       0.891       0.976       0.926       0.898       0.986
cement152-anm-02236.dat             4.4       -3.04        1.67         2.2        11.8        1.41      -0.778      -0.888        6.57       0.725       0.373        0.68       0.389        23.3        17.2        18.7        15.5        15.4       0.808        0.97       0.868       0.834       0.982
