Name                             IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
cement152-anm-00137.dat            5.42        2.47           0        1.16        12.1       0.403       -1.24        -1.8        6.04       0.834       0.447       0.804         0.4        23.5        19.4        14.3        19.3        15.1       0.708       0.971       0.794       0.769       0.985
cement152-anm-00138.dat            4.65       -7.59     9.3e-16        1.45        14.1       0.434       0.683      -0.588        6.52       0.748        0.33       0.657       0.472        28.4        19.8        11.1        19.8        11.1       0.469       0.876       0.604        0.53        0.94
cement152-anm-00141.dat            6.24         7.4       -4.07       0.531        22.2       -1.81       0.715       -1.07        6.65       0.724       0.281       0.637       0.461        44.5        29.4        15.2        29.4        15.2        0.42       0.843       0.561       0.475       0.923
cement152-anm-00142.dat            5.11        4.09       0.516    2.52e-16        11.1      -0.543       0.215         1.8        5.92       0.847       0.462       0.807       0.412        22.1        16.9        12.2        16.9        12.2        0.63       0.949       0.735       0.694       0.974
cement152-anm-00145.dat            3.79       -4.26        1.09      -0.556        11.7        1.02        1.61       -0.12        6.46       0.736       0.324       0.675       0.439        23.6        18.1        13.1        18.1        13.1       0.635       0.951       0.739       0.699       0.975
cement152-anm-00146.dat            6.52        6.48       -2.57      -0.439        23.2       -3.23        3.03        1.44        6.63       0.737       0.281       0.637       0.446        46.8        22.4        14.1        22.4        14.1       0.434       0.831       0.573       0.453        0.89
cement152-anm-00147.dat            6.28        2.36       -1.71    1.78e-16        20.3      0.0787      0.0739      0.0206        6.22       0.781        0.31        0.71       0.443        40.6        21.6        15.1        21.6        15.1       0.511       0.879       0.639       0.541       0.923
cement152-anm-00149.dat            6.91        -5.1        -3.7        1.62        18.1        0.85           0       0.107        6.07       0.806       0.381        0.74       0.489        36.3        24.8        18.6        24.8        18.6        0.62       0.939       0.727       0.675       0.966
cement152-anm-00151.dat             6.4       -2.73        1.08       0.754        14.8       0.418       -2.19       -1.84        6.16       0.795       0.433        0.75       0.431        29.6        20.2        18.8        20.2        18.7       0.765       0.968       0.837       0.802       0.981
cement152-anm-00152.dat            5.54       -2.77        3.34    2.66e-16        13.9       0.309       -1.62      -0.907        5.95       0.808       0.398       0.761       0.417        27.9        22.2        13.5        21.7        12.9       0.526       0.911       0.651       0.595       0.959
cement152-anm-00154.dat            3.15        1.93         1.4      -0.946        11.4       0.185      -0.971       0.718        6.88       0.708       0.276       0.635       0.442        22.6        18.7        8.15        18.7        8.15       0.397       0.832        0.54       0.464       0.931
cement152-anm-00157.dat            6.31        4.46        1.14       0.878        17.2        1.36        2.15         1.4        6.01       0.809       0.366       0.763       0.463        34.7        24.9        16.5        24.9        16.5       0.562       0.923       0.681       0.625       0.961
cement152-anm-00160.dat            4.12        -2.8       0.354       0.539        12.8      -0.768        1.63       -1.49        6.38       0.761       0.322       0.691       0.423        25.6        16.9         9.6        16.9        9.67       0.465       0.871         0.6        0.52       0.935
cement152-anm-00161.dat            4.64        3.11        3.76    2.99e-16        24.7       -1.33       -1.61       0.536        7.56       0.646       0.188       0.534        0.46        48.9        25.7        11.9        25.5        11.9       0.336       0.763       0.484       0.365       0.869
cement152-anm-00163.dat            7.23      -0.181       -2.88      -0.551        22.1        0.53       -2.78       -4.46        6.26       0.774       0.327       0.726       0.454        44.4        28.5          20        27.4        21.3       0.612       0.929       0.721       0.656       0.956
cement152-anm-00164.dat            4.06      -0.151         2.4      -0.617        11.6       -1.11       -0.61       0.696        6.22       0.767       0.351       0.716       0.407        23.1        16.9        11.3        16.6          11        0.56       0.922        0.68       0.623        0.96
cement152-anm-00165.dat            5.48        3.29         1.3        -1.4        16.8       0.104       -1.65        1.76        6.59       0.738       0.326       0.678       0.461        32.1        26.5        14.5        25.9        14.7       0.511       0.905       0.639       0.583       0.958
cement152-anm-00167.dat            7.96       -2.43       -1.34       0.901        21.5       -2.02        -1.9       -2.29        6.04       0.808       0.371       0.757       0.465        43.1        25.8        19.6        25.8        19.6       0.587       0.919       0.701       0.629        0.95
cement152-anm-00168.dat            7.35        -6.8       -2.69        0.46        20.4        0.56        1.72        2.85        6.05       0.809       0.361       0.751       0.523        38.1        31.6          16        31.6          16       0.462       0.878       0.597       0.533       0.948
cement152-anm-00170.dat            4.96       -2.36        5.02      -0.349          16        2.48       -2.33       0.214         6.6        0.74       0.311       0.669       0.467        31.6        23.1          11        22.9          11        0.41       0.839       0.552       0.471       0.928
cement152-anm-00171.dat            6.51        5.23        2.87    3.65e-16        15.5        -1.3        1.22      -0.341        6.07       0.805       0.419       0.751       0.474        31.3        24.5        17.6        24.5        17.6       0.635       0.951       0.739         0.7       0.976
cement152-anm-00174.dat            4.95        2.21       -1.22      -0.159        13.6       -1.57       0.403       -1.03        6.12       0.817       0.364        0.76       0.399        27.4        16.8        11.8        16.8        11.8       0.551       0.908       0.672       0.598       0.946
cement152-anm-00177.dat            4.34      -0.244        0.75      -0.202        11.3       0.134      -0.284      -0.967         6.1       0.796       0.384       0.747       0.434        22.6        17.8        11.2        17.8        11.2       0.558       0.925       0.678       0.628       0.965
cement152-anm-00178.dat            5.17      -0.938      -0.881        0.51        17.1        3.14       0.397      -0.199        6.86       0.727       0.303       0.652       0.434        33.8        24.5        13.6        24.5        13.4       0.466       0.876       0.601        0.53       0.942
cement152-anm-00179.dat            4.23         4.8      -0.607        1.24        13.2      -0.748        1.59       -1.28        6.18        0.78        0.32        0.71       0.478        26.6        20.3        10.8        20.2        10.3       0.446       0.866       0.584       0.512        0.94
cement152-anm-00182.dat            6.53        0.64       -1.97       0.974        16.3      0.0928        1.48       -1.39        6.04       0.809       0.401        0.76       0.479        31.9          24        17.5          24        17.5       0.632       0.949       0.737       0.695       0.974
cement152-anm-00183.dat            3.81        3.82        1.51      -0.258        12.1       -1.87        1.03       0.843        6.81       0.721       0.314       0.647       0.361        24.6        14.1        10.1        13.9        9.86       0.534       0.894       0.658       0.571       0.934
cement152-anm-00184.dat            3.19        6.11        1.57      -0.397        11.8      0.0145      0.0445       0.744         6.8       0.719        0.27       0.584       0.428        23.8        10.8        6.65        10.8        6.65       0.415       0.815       0.556       0.427       0.876
cement152-anm-00185.dat            4.06        -3.3       -1.81        1.49        12.5       -1.14        1.07      -0.401        6.45       0.748       0.326       0.682       0.475        24.7        21.4        9.74        21.4        9.74       0.424       0.853       0.564       0.495        0.94
cement152-anm-00190.dat             3.2      -0.427       -2.24      -0.585        13.1      -0.677        2.08       0.711        6.98        0.69       0.245       0.602       0.434        26.1        17.7        8.01        17.7        7.94        0.37       0.804       0.515       0.423        0.91
cement152-anm-00191.dat            5.71       0.364       -5.78      -0.732        16.7       0.441       0.533       0.132        6.21       0.771       0.342       0.697       0.537          33        31.6        12.7        31.6        12.7       0.394       0.832       0.538       0.465       0.934
cement152-anm-00192.dat            8.67        6.46           0       0.816        30.9       -1.68       -8.83       -2.31         6.6       0.742       0.281        0.66       0.461        61.7        31.6        20.3        31.6        20.3       0.459       0.851       0.595       0.486       0.906
cement152-anm-00193.dat            3.14         9.3       -3.68    6.12e-16        15.7      -0.551        -1.7       -1.13         7.6        0.62       0.201       0.494       0.463        31.1        24.7        6.67        24.5        6.64        0.24       0.661       0.387       0.286       0.867
cement152-anm-00195.dat            6.43       -8.19        1.03      -0.519        17.1        1.83       0.724       0.124        6.27       0.776       0.376       0.687       0.468        34.2        18.3          15        18.3          15         0.6       0.911       0.712       0.625        0.94
cement152-anm-00197.dat            5.66       -2.12       0.543       0.865          13      -0.186       0.396       -1.35        5.97        0.83       0.437        0.79       0.474        25.4        23.2          16        23.2          16       0.658       0.963       0.756       0.729       0.983
cement152-anm-00207.dat            3.17        3.52        1.39      -0.478        12.4      -0.414       -1.27        1.62        6.69       0.728       0.255       0.632       0.447          25        14.8        7.39        14.8        7.32        0.38       0.808       0.525       0.423       0.901
cement152-anm-00209.dat            5.13        -6.8        2.69       -0.46        16.2       0.491        1.04         2.1        6.68       0.739       0.317       0.667       0.483        31.9          26        16.1          26        15.9       0.552       0.924       0.673       0.624       0.966
cement152-anm-00212.dat            6.62       -2.27        3.57      -0.534          16        0.62       -1.91      -0.794         6.2       0.794       0.413       0.741       0.463        30.9        30.3        17.3        30.3        17.3       0.567       0.934       0.685       0.645       0.972
cement152-anm-00216.dat            8.02        1.97        2.39       0.591          18      -0.858       -2.64      -0.713        5.86       0.839       0.445       0.804       0.468        36.4        27.6          22        27.6          22       0.694       0.964       0.784       0.752       0.981
cement152-anm-00222.dat            6.41      0.0757         1.2        -1.9        15.2      -0.257       0.241        1.37        5.97       0.823       0.421       0.779       0.481        29.4        25.1          16        25.1          16       0.589        0.94       0.703       0.662       0.973
cement152-anm-00224.dat            5.26        7.02         1.8      -0.916        15.4       -1.22    1.49e-16       0.481         6.5       0.733       0.341       0.649       0.472        30.8        28.6        12.5        28.5        12.4        0.42       0.851       0.561       0.492       0.941
cement152-anm-00225.dat            7.26       0.856      -0.622    6.48e-17        17.8      0.0991       0.519       -2.77         5.9       0.831       0.409        0.79       0.471        35.7        26.8        17.2        26.8        17.2       0.556       0.923       0.677       0.623       0.962
cement152-anm-00226.dat             6.3        5.66           0        1.84        16.8      -0.404       -2.12    1.32e-16        5.96       0.827       0.374       0.778       0.488        33.7        23.2        16.4        23.2        16.4       0.587       0.929       0.701       0.645       0.962
cement152-anm-00229.dat            3.32        7.49       0.946       0.475          19      -0.644      0.0814      0.0821        7.45       0.626       0.175       0.502       0.422        38.2        16.4         7.8        16.3        7.77       0.312       0.729        0.46       0.319       0.828
cement152-anm-00230.dat            6.54       -2.17        2.04      -0.968        16.2        1.79        0.46        1.97        5.89       0.835       0.405       0.799       0.448        31.9        23.7        16.4        23.7        16.4       0.597       0.937       0.709       0.661       0.968
cement152-anm-00231.dat            3.91        2.14           0      -0.135        12.1      -0.324      -0.998       0.341        6.41       0.734       0.323       0.661       0.363        24.5        12.5        9.82        12.5        9.82       0.561       0.895        0.68       0.583       0.928
cement152-anm-00234.dat            3.85        1.22      -0.154       -1.49        11.4      -0.191       0.105       0.672        6.73       0.743       0.338       0.695       0.382        22.9        14.8        14.5        14.6        14.2       0.776       0.963       0.844       0.802       0.976
cement152-anm-00241.dat            5.33       -1.09       -3.36       0.446        12.9      -0.199       0.612       0.685        5.97       0.822       0.414       0.778       0.468        25.4        21.2        13.9          21        13.4       0.579       0.935       0.695       0.651       0.971
