Name                             IS_Rad        IS_x        IS_y        IS_z  Sphericity    Round DP  Round MaxC    Corey SF         ASF         MPS         ESF     Hofmann
cement152-anm-01148.dat            14.7        3.76        2.46        3.51       0.796        0.77       0.435       0.697       0.961       0.786       0.748       0.977
cement152-anm-01164.dat            5.96       -1.98        -2.2       0.992       0.741       0.718       0.432       0.851       0.983       0.898       0.879        0.99
cement152-anm-01177.dat            5.76        1.61       -2.09       -5.37       0.762       0.697       0.513       0.399       0.834       0.542       0.467       0.932
cement152-anm-01188.dat             6.5     -0.0284        2.01       0.603       0.784       0.739       0.487       0.526       0.909       0.651       0.592       0.956
cement152-anm-01198.dat            6.41       -2.16       -1.23        2.19       0.847       0.821       0.443       0.647       0.957       0.748       0.716        0.98
cement152-anm-01216.dat            7.17       -4.33        2.86       -3.57       0.793       0.739       0.504       0.475       0.888       0.608        0.55       0.954
cement152-anm-01226.dat            6.95       -3.52        1.19       -8.51       0.764       0.691       0.473       0.423       0.845       0.563       0.479       0.925
cement152-anm-01245.dat            4.75       -0.43       0.951       0.425        0.81       0.784       0.383       0.625       0.953       0.731       0.699       0.979
cement152-anm-01266.dat            5.19       0.997       0.466        1.15       0.815       0.773       0.462       0.542        0.91       0.665       0.599       0.952
cement152-anm-01278.dat            7.82       -1.18       -1.31       -1.55        0.82       0.798       0.445       0.702       0.972        0.79       0.767       0.987
cement152-anm-01295.dat            6.69       0.343     -0.0177        1.54        0.82       0.786       0.458       0.574       0.926       0.691       0.634       0.961
cement152-anm-01306.dat            6.63       -1.23        -3.9       -4.27       0.743       0.668       0.467       0.575       0.909       0.691        0.61       0.942
cement152-anm-01320.dat            3.59        2.94        3.18       -5.64       0.679       0.574       0.476       0.377       0.783       0.521        0.38        0.85
cement152-anm-01331.dat            4.12     -0.0295        2.09        2.57       0.788       0.748       0.423       0.515       0.909       0.643        0.59       0.961
cement152-anm-01341.dat            4.38       -1.47       0.718        1.91       0.783       0.739       0.412       0.509       0.906       0.638       0.584        0.96
cement152-anm-01353.dat            8.35        1.72        1.86       0.939       0.804       0.781       0.468       0.692       0.967       0.783       0.754       0.983
cement152-anm-01365.dat            7.63     -0.0439      -0.616       -1.26       0.844       0.831       0.418       0.874       0.992       0.914       0.905       0.996
cement152-anm-01383.dat            5.88       -3.59        2.05       0.955        0.85        0.82       0.466       0.572       0.929       0.689       0.638       0.965
cement152-anm-01399.dat            7.31     -0.0374        2.64       -2.61       0.812       0.769       0.537       0.518       0.911       0.645       0.595       0.963
cement152-anm-01415.dat               6        7.51       -8.89        3.49       0.719       0.631       0.533       0.324       0.766       0.472       0.386       0.909
cement152-anm-01426.dat            5.29       -2.15      -0.573        1.85       0.813       0.772       0.357        0.71       0.942       0.796       0.732       0.962
cement152-anm-01439.dat            4.05       -2.15       0.723        1.01       0.799       0.768       0.363       0.768       0.967       0.839       0.803        0.98
